,Time,Average Demand,Peak,Off Peak
0,2019-10-01 00:00:00,1703.5,0.0,1703.5
0,2019-05-15 00:00:00,1523.0,0.0,1523.0
0,2019-12-10 00:00:00,1630.0,0.0,1630.0
0,2019-12-11 00:00:00,1479.5,0.0,1479.5
0,2019-05-14 00:00:00,1516.0,0.0,1516.0
0,2019-12-12 00:00:00,1483.0,0.0,1483.0
0,2019-12-13 00:00:00,1428.5,0.0,1428.5
0,2019-05-13 00:00:00,1562.18,0.0,1562.18
0,2019-12-14 00:00:00,1477.0,0.0,1477.0
0,2019-12-15 00:00:00,1338.0,0.0,1338.0
0,2019-05-12 00:00:00,1426.0,0.0,1426.0
0,2019-12-16 00:00:00,1173.5,0.0,1173.5
0,2019-12-17 00:00:00,1048.5,0.0,1048.5
0,2019-05-11 00:00:00,1667.0,0.0,1667.0
0,2019-12-18 00:00:00,1130.0,0.0,1130.0
0,2019-12-19 00:00:00,1031.0,0.0,1031.0
0,2019-05-10 00:00:00,1756.5,0.0,1756.5
0,2019-12-20 00:00:00,1119.5,0.0,1119.5
0,2019-12-30 00:00:00,1140.0,0.0,1140.0
0,2019-12-29 00:00:00,1213.5,0.0,1213.5
0,2019-05-06 00:00:00,1714.5,0.0,1714.5
0,2019-12-28 00:00:00,1168.5,0.0,1168.5
0,2019-12-27 00:00:00,1180.0,0.0,1180.0
0,2019-05-07 00:00:00,1876.5,0.0,1876.5
0,2019-12-09 00:00:00,1529.5,0.0,1529.5
0,2019-12-26 00:00:00,1125.82,0.0,1125.82
0,2019-05-08 00:00:00,1615.5,0.0,1615.5
0,2019-12-24 00:00:00,1166.0,0.0,1166.0
0,2019-12-23 00:00:00,1125.5,0.0,1125.5
0,2019-05-09 00:00:00,1548.5,0.0,1548.5
0,2019-12-22 00:00:00,1104.5,0.0,1104.5
0,2019-12-21 00:00:00,1210.0,0.0,1210.0
0,2019-12-25 00:00:00,1198.5,0.0,1198.5
0,2019-12-08 00:00:00,1490.0,0.0,1490.0
0,2019-05-16 00:00:00,1645.5,0.0,1645.5
0,2019-12-07 00:00:00,1293.0,0.0,1293.0
0,2019-03-25 00:00:00,1250.5,0.0,1250.5
0,2019-03-24 00:00:00,1256.5,0.0,1256.5
0,2019-05-23 00:00:00,1519.5,0.0,1519.5
0,2019-03-23 00:00:00,1276.0,0.0,1276.0
0,2019-03-22 00:00:00,1648.5,0.0,1648.5
0,2019-05-24 00:00:00,1661.45,0.0,1661.45
0,2019-05-22 00:00:00,1530.0,0.0,1530.0
0,2019-03-21 00:00:00,1645.09,0.0,1645.09
0,2019-05-25 00:00:00,1393.5,0.0,1393.5
0,2019-03-19 00:00:00,1516.5,0.0,1516.5
0,2019-03-18 00:00:00,1576.0,0.0,1576.0
0,2019-03-17 00:00:00,1512.0,0.0,1512.0
0,2019-05-26 00:00:00,1620.5,0.0,1620.5
0,2019-03-16 00:00:00,1561.0,0.0,1561.0
0,2019-03-20 00:00:00,1597.5,0.0,1597.5
0,2019-05-05 00:00:00,1392.0,0.0,1392.0
0,2019-03-26 00:00:00,1140.5,0.0,1140.5
0,2019-05-21 00:00:00,1814.0,0.0,1814.0
0,2019-12-06 00:00:00,1422.5,0.0,1422.5
