,Time,Average Demand,Peak,Off Peak
0,2018-12-01 00:00:00,1494.5,0.0,1494.5
0,2018-02-17 00:00:00,1592.0,0.0,1592.0
0,2018-10-16 00:00:00,1824.5,0.0,1824.5
0,2018-02-16 00:00:00,1757.0,0.0,1757.0
0,2018-10-17 00:00:00,1717.5,0.0,1717.5
0,2018-02-15 00:00:00,1661.0,0.0,1661.0
0,2018-10-18 00:00:00,1664.0,0.0,1664.0
0,2018-02-14 00:00:00,1627.5,0.0,1627.5
0,2018-02-13 00:00:00,1515.27,0.0,1515.27
0,2018-10-19 00:00:00,1609.0,0.0,1609.0
0,2018-02-12 00:00:00,1609.0,0.0,1609.0
0,2018-10-20 00:00:00,1594.0,0.0,1594.0
0,2018-02-11 00:00:00,1547.5,0.0,1547.5
0,2018-10-21 00:00:00,1475.5,0.0,1475.5
0,2018-02-10 00:00:00,1501.5,0.0,1501.5
0,2018-10-22 00:00:00,1576.0,0.0,1576.0
0,2018-02-09 00:00:00,1441.0,0.0,1441.0
0,2018-02-08 00:00:00,1375.0,0.0,1375.0
0,2018-10-23 00:00:00,1771.09,0.0,1771.09
0,2018-02-07 00:00:00,1412.0,0.0,1412.0
0,2018-10-24 00:00:00,1635.0,0.0,1635.0
0,2018-02-06 00:00:00,1361.5,0.0,1361.5
0,2018-10-25 00:00:00,1609.5,0.0,1609.5
0,2018-02-05 00:00:00,1452.5,0.0,1452.5
0,2018-10-26 00:00:00,1601.5,0.0,1601.5
0,2018-02-04 00:00:00,1390.0,0.0,1390.0
0,2018-02-03 00:00:00,1434.55,0.0,1434.55
0,2018-10-27 00:00:00,1466.0,0.0,1466.0
0,2018-02-18 00:00:00,1702.5,0.0,1702.5
0,2018-02-02 00:00:00,1580.0,0.0,1580.0
0,2018-10-15 00:00:00,1660.5,0.0,1660.5
0,2018-10-14 00:00:00,1430.0,0.0,1430.0
0,2018-10-02 00:00:00,1832.0,0.0,1832.0
0,2018-08-06 00:00:00,2038.0,0.0,2038.0
0,2018-10-03 00:00:00,1937.5,0.0,1937.5
0,2018-08-05 00:00:00,1941.0,0.0,1941.0
0,2018-10-04 00:00:00,1937.5,0.0,1937.5
0,2018-08-04 00:00:00,2027.0,0.0,2027.0
0,2018-08-03 00:00:00,2051.0,0.0,2051.0
0,2018-10-05 00:00:00,1944.0,0.0,1944.0
0,2018-08-02 00:00:00,2132.0,0.0,2132.0
0,2018-10-06 00:00:00,1530.0,0.0,1530.0
0,2018-08-01 00:00:00,2031.0,0.0,2031.0
0,2018-10-07 00:00:00,1986.5,0.0,1986.5
0,2018-02-28 00:00:00,2005.5,0.0,2005.5
0,2018-02-27 00:00:00,2081.0,0.0,2081.0
0,2018-10-08 00:00:00,1972.0,0.0,1972.0
0,2018-02-26 00:00:00,1937.0,0.0,1937.0
0,2018-10-09 00:00:00,1951.5,0.0,1951.5
0,2018-02-25 00:00:00,2106.5,0.0,2106.5
0,2018-10-10 00:00:00,2195.5,0.0,2195.5
0,2018-02-24 00:00:00,1983.0,0.0,1983.0
0,2018-10-11 00:00:00,2160.0,0.0,2160.0
0,2018-02-23 00:00:00,1902.0,0.0,1902.0
0,2018-02-22 00:00:00,2047.5,0.0,2047.5
0,2018-10-12 00:00:00,2045.0,0.0,2045.0
0,2018-02-21 00:00:00,2023.0,0.0,2023.0
0,2018-10-13 00:00:00,1458.0,0.0,1458.0
0,2018-02-20 00:00:00,1781.5,0.0,1781.5
0,2018-02-19 00:00:00,1686.0,0.0,1686.0
0,2018-10-28 00:00:00,1423.0,0.0,1423.0
0,2018-02-01 00:00:00,1541.0,0.0,1541.0
0,2018-07-25 08:00:00,1994.5,0.0,1994.5
0,2018-12-27 00:00:00,1108.5,0.0,1108.5
0,2018-05-12 00:00:00,1533.0,0.0,1533.0
0,2018-12-26 00:00:00,1242.55,0.0,1242.55
0,2018-05-13 00:00:00,1515.82,0.0,1515.82
0,2018-12-25 00:00:00,1083.5,0.0,1083.5
0,2018-12-24 00:00:00,1115.0,0.0,1115.0
0,2018-05-14 00:00:00,1872.5,0.0,1872.5
0,2018-12-23 00:00:00,1211.0,0.0,1211.0
0,2018-05-15 00:00:00,1843.0,0.0,1843.0
0,2018-12-22 00:00:00,1415.5,0.0,1415.5
0,2018-05-16 00:00:00,1909.0,0.0,1909.0
0,2018-12-21 00:00:00,1166.0,0.0,1166.0
0,2018-05-17 00:00:00,1980.0,0.0,1980.0
0,2018-12-20 00:00:00,1130.0,0.0,1130.0
0,2018-12-19 00:00:00,1151.0,0.0,1151.0
0,2018-05-18 00:00:00,1746.0,0.0,1746.0
0,2018-12-18 00:00:00,1170.5,0.0,1170.5
0,2018-05-19 00:00:00,1529.5,0.0,1529.5
0,2018-12-17 00:00:00,1239.0,0.0,1239.0
0,2018-05-20 00:00:00,1638.5,0.0,1638.5
0,2018-12-16 00:00:00,1296.0,0.0,1296.0
0,2018-12-15 00:00:00,1462.0,0.0,1462.0
0,2018-05-21 00:00:00,1802.5,0.0,1802.5
0,2018-12-14 00:00:00,1512.0,0.0,1512.0
0,2018-05-22 00:00:00,1861.0,0.0,1861.0
0,2018-12-13 00:00:00,1649.5,0.0,1649.5
0,2018-05-23 00:00:00,1784.0,0.0,1784.0
0,2018-05-11 00:00:00,1982.5,0.0,1982.5
0,2018-12-28 00:00:00,1147.5,0.0,1147.5
0,2018-05-10 00:00:00,1980.0,0.0,1980.0
0,2018-12-29 00:00:00,1254.0,0.0,1254.0
0,2018-11-14 00:00:00,1543.09,0.0,1543.09
0,2018-10-29 00:00:00,1649.0,0.0,1649.0
0,2018-11-13 00:00:00,1562.0,0.0,1562.0
0,2018-11-12 00:00:00,1526.0,0.0,1526.0
0,2018-10-30 00:00:00,1598.5,0.0,1598.5
0,2018-11-11 00:00:00,1381.0,0.0,1381.0
0,2018-10-31 00:00:00,1551.0,0.0,1551.0
0,2018-11-10 00:00:00,1375.0,0.0,1375.0
0,2018-05-01 00:00:00,1605.5,0.0,1605.5
0,2018-11-09 00:00:00,1612.5,0.0,1612.5
0,2018-05-02 00:00:00,1908.0,0.0,1908.0
0,2018-11-08 00:00:00,1692.5,0.0,1692.5
0,2018-11-07 00:00:00,1612.0,0.0,1612.0
0,2018-08-07 00:00:00,2131.5,0.0,2131.5
0,2018-05-03 00:00:00,1922.5,0.0,1922.5
0,2018-05-04 00:00:00,2065.5,0.0,2065.5
0,2018-11-05 00:00:00,1466.5,0.0,1466.5
0,2018-05-05 00:00:00,1838.5,0.0,1838.5
0,2018-11-04 00:00:00,1533.0,0.0,1533.0
0,2018-05-06 00:00:00,1843.0,0.0,1843.0
0,2018-11-03 00:00:00,1578.55,0.0,1578.55
0,2018-11-02 00:00:00,1750.0,0.0,1750.0
0,2018-05-07 00:00:00,1818.0,0.0,1818.0
0,2018-11-01 00:00:00,1692.5,0.0,1692.5
0,2018-05-08 00:00:00,1698.5,0.0,1698.5
0,2018-12-31 00:00:00,1118.5,0.0,1118.5
0,2018-05-09 00:00:00,1923.0,0.0,1923.0
0,2018-12-30 00:00:00,1221.5,0.0,1221.5
0,2018-11-06 00:00:00,1630.0,0.0,1630.0
0,2018-12-12 00:00:00,1699.5,0.0,1699.5
0,2018-10-01 00:00:00,1887.0,0.0,1887.0
0,2018-08-09 00:00:00,2131.0,0.0,2131.0
0,2018-01-28 00:00:00,1604.5,0.0,1604.5
0,2018-06-03 00:00:00,1572.0,0.0,1572.0
0,2018-01-27 00:00:00,1533.0,0.0,1533.0
0,2018-06-04 00:00:00,1616.5,0.0,1616.5
0,2018-01-26 00:00:00,1645.5,0.0,1645.5
0,2018-06-05 00:00:00,1522.5,0.0,1522.5
0,2018-01-25 00:00:00,1697.0,0.0,1697.0
0,2018-01-24 00:00:00,1705.64,0.0,1705.64
0,2018-06-06 00:00:00,1415.0,0.0,1415.0
0,2018-01-23 00:00:00,1774.0,0.0,1774.0
0,2018-06-07 00:00:00,1624.5,0.0,1624.5
0,2018-01-22 00:00:00,1707.5,0.0,1707.5
0,2018-06-08 00:00:00,1533.0,0.0,1533.0
0,2018-01-21 00:00:00,1650.0,0.0,1650.0
0,2018-06-09 00:00:00,1714.0,0.0,1714.0
0,2018-01-20 00:00:00,1605.0,0.0,1605.0
